cohort,seed,mode,mode_key,students_total,students_served,students_unserved,served_rate_pct,routes_created,total_route_time_min,total_route_dist_km,avg_walk_dist_m,max_walk_dist_m,alns_runtime_seconds,executed_iterations,matrix_precompute_total_s,mode_wall_time_seconds
100,1337,Mode A,strictly_constrained,100,98,2,98.0,6.0,255.74,108.17,,,54.83,342.0,,
100,1337,Mode B,weakly_constrained,100,97,3,97.0,6.0,246.84,115.39,86.9,460.1,60.28,294.0,,
100,1337,Mode C,door_to_door,100,96,4,96.0,6.0,261.47,113.54,18.7,276.5,21.64,327.0,,
100,2000,Mode A,strictly_constrained,100,99,1,99.0,6.0,253.76,115.99,,,39.76,231.0,,
100,2000,Mode B,weakly_constrained,100,98,2,98.0,5.0,196.73,84.52,,,41.22,196.0,,
100,2000,Mode C,door_to_door,100,98,2,98.0,6.0,268.34,116.74,21.9,304.3,19.65,307.0,,
100,42,Mode A,strictly_constrained,100,100,0,100.0,6.0,239.97,106.56,87.7,1901.5,23.38,165.0,,
100,42,Mode B,weakly_constrained,100,97,3,97.0,5.0,217.42,97.73,110.1,1553.1,59.85,200.0,,
100,42,Mode C,door_to_door,100,95,5,95.0,6.0,262.46,116.98,28.2,319.3,15.71,253.0,,
100,456,Mode A,strictly_constrained,100,95,5,95.0,6.0,250.11,106.27,,,42.21,273.0,,
100,456,Mode B,weakly_constrained,100,98,2,98.0,5.0,213.95,92.33,127.3,1756.7,55.99,211.0,,
100,456,Mode C,door_to_door,100,95,5,95.0,6.0,257.73,104.18,14.9,329.2,26.74,319.0,,
100,67,Mode A,strictly_constrained,100,100,0,100.0,6.0,253.37,109.57,50.2,461.7,45.02,286.0,,
100,67,Mode B,weakly_constrained,100,100,0,100.0,5.0,207.26,92.43,,,44.98,228.0,,
100,67,Mode C,door_to_door,100,95,5,95.0,6.0,249.81,104.93,17.4,312.4,13.05,197.0,,
200,1337,Mode A,strictly_constrained,200,195,5,97.5,10.0,429.45,184.38,,,60.0,115.0,,
200,1337,Mode B,weakly_constrained,200,193,7,96.5,10.0,381.95,165.92,107.0,1407.3,60.0,66.0,,
200,1337,Mode C,door_to_door,200,199,1,99.5,11.0,472.25,189.73,19.1,279.2,39.0,215.0,,
200,2000,Mode A,strictly_constrained,200,198,2,99.0,11.0,454.12,197.53,,,39.0,55.0,,
