cohort,comparison,metric,n_pairs,median_delta,mean_delta,wilcoxon_W,p_raw,effect_rank_biserial,p_holm,significant_alpha_0_05
100,Mode A - Mode B,alns_runtime_seconds,5,-5.450000000000003,-11.424,1.0,0.125,-0.8666666666666667,1.0,False
100,Mode A - Mode B,routes_created,5,1.0,0.8,0.0,0.125,1.0,1.0,False
100,Mode A - Mode B,served_rate_pct,5,1.0,0.4,3.5,0.75,0.3,1.0,False
100,Mode A - Mode B,total_route_dist_km,5,13.939999999999998,12.831999999999997,1.0,0.125,0.8666666666666667,1.0,False
100,Mode A - Mode B,total_route_time_min,5,36.160000000000025,34.15000000000001,0.0,0.0625,1.0,1.0,False
100,Mode B - Mode C,alns_runtime_seconds,5,31.929999999999996,33.106,0.0,0.0625,1.0,1.0,False
100,Mode B - Mode C,avg_walk_dist_m,3,81.89999999999999,87.5,0.0,0.25,1.0,1.0,False
100,Mode B - Mode C,routes_created,5,-1.0,-0.8,0.0,0.125,-1.0,1.0,False
100,Mode B - Mode C,served_rate_pct,5,2.0,2.2,0.0,0.125,1.0,1.0,False
100,Mode B - Mode C,total_route_dist_km,5,-12.5,-14.794000000000002,1.0,0.125,-0.8666666666666667,1.0,False
100,Mode B - Mode C,total_route_time_min,5,-43.78000000000003,-43.522000000000006,0.0,0.0625,-1.0,1.0,False
200,Mode A - Mode B,alns_runtime_seconds,5,-21.0,-18.856,0.0,0.125,-1.0,1.0,False
200,Mode A - Mode B,routes_created,5,1.0,0.8,0.0,0.125,1.0,1.0,False
200,Mode A - Mode B,served_rate_pct,5,2.0,1.6,1.5,0.1875,0.8,1.0,False
200,Mode A - Mode B,total_route_dist_km,5,23.49000000000001,22.926000000000005,0.0,0.0625,1.0,1.0,False
200,Mode A - Mode B,total_route_time_min,5,56.849999999999966,61.189999999999976,0.0,0.0625,1.0,1.0,False
200,Mode B - Mode C,alns_runtime_seconds,5,21.0,35.17,0.0,0.0625,1.0,1.0,False
200,Mode B - Mode C,routes_created,5,-1.0,-1.2,0.0,0.0625,-1.0,1.0,False
200,Mode B - Mode C,served_rate_pct,5,-2.5,-2.3,0.0,0.125,-1.0,1.0,False
200,Mode B - Mode C,total_route_dist_km,5,-40.72,-37.026,0.0,0.0625,-1.0,1.0,False
200,Mode B - Mode C,total_route_time_min,5,-104.11000000000001,-100.066,0.0,0.0625,-1.0,1.0,False
400,Mode A - Mode B,alns_runtime_seconds,5,-0.00999999999999801,-14.538000000000002,2.0,0.25,-0.7333333333333333,1.0,False
400,Mode A - Mode B,routes_created,5,1.0,0.6,0.0,0.25,1.0,1.0,False
400,Mode A - Mode B,served_rate_pct,5,3.5,3.15,0.0,0.0625,1.0,1.0,False
400,Mode A - Mode B,total_route_dist_km,5,18.079999999999984,19.25999999999999,3.0,0.3125,0.6,1.0,False
400,Mode A - Mode B,total_route_time_min,5,94.32999999999993,93.042,0.0,0.0625,1.0,1.0,False
400,Mode B - Mode C,alns_runtime_seconds,5,9.009999999999998,47.169999999999995,0.0,0.0625,1.0,1.0,False
400,Mode B - Mode C,routes_created,5,-1.0,-1.0,0.0,0.0625,-1.0,1.0,False
400,Mode B - Mode C,served_rate_pct,5,-4.25,-4.1,0.0,0.0625,-1.0,1.0,False
400,Mode B - Mode C,total_route_dist_km,5,-51.84000000000003,-45.09400000000001,1.0,0.125,-0.8666666666666667,1.0,False
400,Mode B - Mode C,total_route_time_min,5,-150.19000000000005,-154.586,0.0,0.0625,-1.0,1.0,False
